arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
base,0,finance,75,0.927446,0.944444,6.01423,12.7828,0.833333,0.075889
base,0,finance,80,0.92672,0.944444,5.97427,12.6463,0.833333,0.0752082
base,0,finance,85,0.927351,0.944444,6.00308,12.7648,0.833333,0.0781006
base,0,finance,90,0.926812,0.944444,6.00543,12.6634,0.833333,0.0779054
base,0,finance,95,0.92616,0.944444,5.97019,12.5427,0.777778,0.0759241
base,0,finance,100,0.926096,0.944444,5.98804,12.5311,0.833333,0.0765396
base,0,finance,105,0.926333,0.944444,5.98032,12.5746,0.833333,0.0762789
base,0,finance,110,0.927215,0.944444,5.97322,12.7391,0.833333,0.0764177
base,0,finance,113,0.926417,0.944444,5.98349,12.59,0.833333,0.0746323
ctrl,0,general,0,0.847477,0.888889,4.07129,5.55637,0.722222,0.0932857
ctrl,0,general,5,0.870516,0.888889,4.45347,6.72298,0.722222,0.103199
ctrl,0,general,10,0.918487,0.944444,5.72405,11.268,0.833333,0.13289
ctrl,0,general,15,0.932043,0.944444,6.8531,13.7153,0.888889,0.156797
ctrl,0,general,20,0.93554,0.944444,7.42749,14.5135,0.888889,0.169434
ctrl,0,general,25,0.938841,0.944444,7.67643,15.3507,0.888889,0.169073
ctrl,0,general,30,0.939995,0.944444,7.80536,15.6652,0.888889,0.174335
ctrl,0,general,35,0.941379,0.944444,7.90443,16.0588,0.888889,0.176511
ctrl,0,general,40,0.943174,0.944444,8.00639,16.5974,0.888889,0.174211
ctrl,0,general,45,0.94277,0.944444,8.01345,16.4733,0.888889,0.173627
ctrl,0,general,50,0.942776,0.944444,8.04932,16.4753,0.888889,0.172917
ctrl,0,general,55,0.943418,0.944444,8.12032,16.6733,0.888889,0.17402
ctrl,0,general,60,0.944044,0.944444,8.15897,16.8712,0.888889,0.17262
ctrl,0,general,65,0.945709,0.944444,8.19767,17.4194,0.888889,0.175502
ctrl,0,general,70,0.94592,0.944444,8.21688,17.491,0.888889,0.174755
ctrl,0,general,75,0.946786,0.944444,8.24292,17.7921,0.888889,0.177311
ctrl,0,general,80,0.946306,0.944444,8.22289,17.6242,0.888889,0.173598
ctrl,0,general,85,0.946771,0.944444,8.22764,17.7869,0.888889,0.171983
ctrl,0,general,90,0.945705,0.944444,8.21359,17.4179,0.888889,0.170946
ctrl,0,general,95,0.946257,0.944444,8.23687,17.6072,0.888889,0.174535
ctrl,0,general,100,0.946044,0.944444,8.21919,17.5335,0.888889,0.174532
ctrl,0,general,105,0.946747,0.944444,8.23117,17.7781,0.888889,0.16968
ctrl,0,general,110,0.946188,0.944444,8.22052,17.5831,0.888889,0.172969
ctrl,0,general,113,0.946572,0.944444,8.23036,17.7169,0.888889,0.171002
ctrl,0,finance,0,0.180053,0.222222,-3.23597,0.219591,0,0.0416101
ctrl,0,finance,5,0.201618,0.222222,-2.96937,0.252533,0,0.0400083
ctrl,0,finance,10,0.290641,0.222222,-2.06585,0.409724,0.111111,0.0372718
ctrl,0,finance,15,0.377395,0.388889,-1.22548,0.606156,0.222222,0.0363547
ctrl,0,finance,20,0.443605,0.444444,-0.587574,0.797284,0.277778,0.0382019
ctrl,0,finance,25,0.47131,0.5,-0.263412,0.891467,0.277778,0.0406393
ctrl,0,finance,30,0.492631,0.5,-0.0351042,0.970951,0.277778,0.0438904
ctrl,0,finance,35,0.508036,0.5,0.130876,1.03267,0.333333,0.046557
ctrl,0,finance,40,0.517277,0.5,0.251027,1.07158,0.388889,0.0482223
ctrl,0,finance,45,0.528542,0.5,0.365836,1.12108,0.388889,0.0498746
ctrl,0,finance,50,0.534914,0.5,0.494165,1.15014,0.388889,0.0502686
ctrl,0,finance,55,0.53591,0.5,0.545242,1.15475,0.388889,0.0513951
ctrl,0,finance,60,0.538156,0.5,0.585332,1.16524,0.388889,0.0512614
ctrl,0,finance,65,0.537245,0.5,0.608424,1.16097,0.388889,0.0524801
ctrl,0,finance,70,0.542078,0.5,0.65827,1.18378,0.388889,0.0542744
ctrl,0,finance,75,0.543756,0.5,0.676211,1.19181,0.388889,0.053752
ctrl,0,finance,80,0.545522,0.5,0.695419,1.20033,0.388889,0.0539287
ctrl,0,finance,85,0.548624,0.5,0.720626,1.21545,0.388889,0.0560598
ctrl,0,finance,90,0.546368,0.5,0.710963,1.20443,0.388889,0.0558064
ctrl,0,finance,95,0.546472,0.5,0.715754,1.20494,0.388889,0.0539751
ctrl,0,finance,100,0.547308,0.5,0.709278,1.20901,0.388889,0.0549616
ctrl,0,finance,105,0.54805,0.5,0.744201,1.21263,0.388889,0.0563408
ctrl,0,finance,110,0.549396,0.5,0.740389,1.21924,0.388889,0.05502
ctrl,0,finance,113,0.548941,0.5,0.743505,1.217,0.388889,0.0554019
kl1000,0,general,0,0.887004,0.888889,4.92732,7.84988,0.777778,0.117952
kl1000,0,general,5,0.906358,0.944444,5.39816,9.67899,0.833333,0.126424
kl1000,0,general,10,0.931554,0.944444,6.59907,13.6101,0.888889,0.151872
kl1000,0,general,15,0.93809,0.944444,7.44232,15.1524,0.888889,0.162999
kl1000,0,general,20,0.942265,0.944444,7.85002,16.3205,0.888889,0.168544
kl1000,0,general,25,0.94396,0.944444,7.96765,16.8443,0.888889,0.169953
kl1000,0,general,30,0.944063,0.944444,8.00126,16.8772,0.888889,0.172034
kl1000,0,general,35,0.945557,0.944444,8.03254,17.3677,0.888889,0.175033
kl1000,0,general,40,0.945762,0.944444,8.09427,17.4371,0.888889,0.168165
kl1000,0,general,45,0.94581,0.944444,8.10785,17.4536,0.888889,0.169857
kl1000,0,general,50,0.946677,0.944444,8.19739,17.7536,0.888889,0.169129
kl1000,0,general,55,0.947113,0.944444,8.23905,17.9084,0.888889,0.169317
kl1000,0,general,60,0.947721,0.944444,8.29999,18.1281,0.888889,0.169795
kl1000,0,general,65,0.949723,0.944444,8.32544,18.8898,0.944444,0.168725
kl1000,0,general,70,0.949373,0.944444,8.30731,18.7523,0.888889,0.169721
kl1000,0,general,75,0.949657,0.944444,8.29972,18.8636,0.944444,0.170441
kl1000,0,general,80,0.94935,0.944444,8.31203,18.7435,0.888889,0.171567
kl1000,0,general,85,0.948805,0.944444,8.30387,18.5332,0.888889,0.169353
kl1000,0,general,90,0.950539,0.944444,8.3153,19.218,0.944444,0.16909
kl1000,0,general,95,0.949635,0.944444,8.29008,18.855,0.944444,0.168711
kl1000,0,general,100,0.9491,0.944444,8.31559,18.6464,0.944444,0.171344
kl1000,0,general,105,0.948554,0.944444,8.29258,18.4378,0.944444,0.168913
kl1000,0,general,110,0.949905,0.944444,8.3066,18.9621,0.944444,0.167291
kl1000,0,general,113,0.949073,0.944444,8.30839,18.6359,0.944444,0.169464
kl1000,0,finance,0,0.191852,0.222222,-3.09627,0.237397,0,0.0416277
kl1000,0,finance,5,0.229796,0.222222,-2.68633,0.298357,0,0.0396895
kl1000,0,finance,10,0.331216,0.277778,-1.73285,0.495251,0.166667,0.0342993
kl1000,0,finance,15,0.407205,0.444444,-0.978965,0.686924,0.222222,0.0346776
kl1000,0,finance,20,0.458071,0.5,-0.457379,0.845261,0.222222,0.0367688
kl1000,0,finance,25,0.478107,0.5,-0.206589,0.916103,0.333333,0.0397452
kl1000,0,finance,30,0.490624,0.5,-0.0603256,0.963187,0.333333,0.0411181
kl1000,0,finance,35,0.503234,0.5,0.0715061,1.01302,0.388889,0.0419976
kl1000,0,finance,40,0.509868,0.5,0.188633,1.04027,0.388889,0.0456363
kl1000,0,finance,45,0.520727,0.5,0.322001,1.08649,0.388889,0.0469513
kl1000,0,finance,50,0.52311,0.5,0.389126,1.09692,0.388889,0.0485088
kl1000,0,finance,55,0.524578,0.5,0.440877,1.10339,0.388889,0.0486828
kl1000,0,finance,60,0.52745,0.5,0.48626,1.11618,0.388889,0.0512125
kl1000,0,finance,65,0.527359,0.5,0.470963,1.11577,0.388889,0.0510339
kl1000,0,finance,70,0.528661,0.5,0.503773,1.12162,0.388889,0.0515799
kl1000,0,finance,75,0.530806,0.5,0.523198,1.13131,0.388889,0.0505638
kl1000,0,finance,80,0.531342,0.5,0.525394,1.13375,0.388889,0.0518842
kl1000,0,finance,85,0.533713,0.5,0.545446,1.1446,0.388889,0.0518672
kl1000,0,finance,90,0.535339,0.5,0.565752,1.15211,0.388889,0.0517645
kl1000,0,finance,95,0.536467,0.5,0.593797,1.15734,0.388889,0.0524399
kl1000,0,finance,100,0.533185,0.5,0.557271,1.14218,0.388889,0.0527706
kl1000,0,finance,105,0.536043,0.5,0.560654,1.15537,0.388889,0.0515179
kl1000,0,finance,110,0.536541,0.5,0.582873,1.15769,0.388889,0.0528734
kl1000,0,finance,113,0.536942,0.5,0.587367,1.15956,0.444444,0.0527951
kl10000,0,general,0,0.904449,0.944444,5.69083,9.46566,0.777778,0.133345
kl10000,0,general,5,0.934713,0.944444,7.03091,14.317,0.888889,0.158867
kl10000,0,general,10,0.94893,0.944444,8.15509,18.5809,0.944444,0.157872
kl10000,0,general,15,0.951096,0.944444,8.24909,19.4483,0.944444,0.164306
kl10000,0,general,20,0.951735,0.944444,8.2967,19.7191,0.944444,0.165401
kl10000,0,general,25,0.951206,0.944444,8.27698,19.4945,0.944444,0.165597
kl10000,0,general,30,0.950498,0.944444,8.24718,19.2011,0.944444,0.167468
kl10000,0,general,35,0.950765,0.944444,8.23265,19.3109,0.944444,0.16297
kl10000,0,general,40,0.953294,0.944444,8.26651,20.4103,0.944444,0.162705
kl10000,0,general,45,0.952677,0.944444,8.29813,20.1313,0.944444,0.161151
kl10000,0,general,50,0.952982,0.944444,8.35616,20.2686,0.944444,0.1657
kl10000,0,general,55,0.953704,0.944444,8.3998,20.6,0.944444,0.165797
kl10000,0,general,60,0.953323,0.944444,8.4308,20.4239,0.944444,0.166801
kl10000,0,general,65,0.952922,0.944444,8.41485,20.2413,0.944444,0.164404
kl10000,0,general,70,0.95355,0.944444,8.40948,20.5283,0.944444,0.169577
kl10000,0,general,75,0.954447,0.944444,8.40443,20.9526,0.944444,0.165643
kl10000,0,general,80,0.954669,0.944444,8.41052,21.0599,0.944444,0.167165
kl10000,0,general,85,0.953516,0.944444,8.38939,20.5127,0.944444,0.16734
kl10000,0,general,90,0.953707,0.944444,8.40522,20.6016,0.944444,0.167941
kl10000,0,general,95,0.953929,0.944444,8.39453,20.7057,0.944444,0.168083
kl10000,0,general,100,0.953099,0.944444,8.3941,20.3215,0.944444,0.165213
kl10000,0,general,105,0.954411,0.944444,8.39318,20.9352,0.944444,0.167219
kl10000,0,general,110,0.953515,0.944444,8.39368,20.5122,0.944444,0.166691
kl10000,0,general,113,0.953498,0.944444,8.3969,20.5046,0.944444,0.167265
kl10000,0,finance,0,0.213122,0.222222,-2.86978,0.270845,0,0.0439385
kl10000,0,finance,5,0.329861,0.333333,-1.86664,0.492228,0.111111,0.0464115
kl10000,0,finance,10,0.488181,0.5,-0.151652,0.953816,0.388889,0.0439159
kl10000,0,finance,15,0.509209,0.5,0.198031,1.03753,0.388889,0.0445326
kl10000,0,finance,20,0.515529,0.5,0.291572,1.06411,0.388889,0.043832
kl10000,0,finance,25,0.518991,0.5,0.326436,1.07896,0.388889,0.0436218
kl10000,0,finance,30,0.527584,0.5,0.443106,1.11678,0.388889,0.0478883
kl10000,0,finance,35,0.535951,0.5,0.522145,1.15494,0.388889,0.0479118
kl10000,0,finance,40,0.537599,0.5,0.58575,1.16263,0.388889,0.0468726
kl10000,0,finance,45,0.540836,0.5,0.672081,1.17787,0.388889,0.0513526
kl10000,0,finance,50,0.54277,0.5,0.695522,1.18708,0.388889,0.0511318
kl10000,0,finance,55,0.544511,0.5,0.745596,1.19544,0.388889,0.0530046
kl10000,0,finance,60,0.544648,0.5,0.728344,1.19611,0.388889,0.0537384
kl10000,0,finance,65,0.546842,0.5,0.755446,1.20674,0.388889,0.0541561
kl10000,0,finance,70,0.545624,0.5,0.747835,1.20082,0.444444,0.0538174
kl10000,0,finance,75,0.547699,0.5,0.756746,1.21092,0.444444,0.0531764
kl10000,0,finance,80,0.549377,0.5,0.768236,1.21915,0.444444,0.0553312
kl10000,0,finance,85,0.548672,0.5,0.769795,1.21568,0.444444,0.0554609
kl10000,0,finance,90,0.551795,0.5,0.781752,1.23112,0.444444,0.0543791
kl10000,0,finance,95,0.551184,0.5,0.80009,1.22808,0.444444,0.0554312
kl10000,0,finance,100,0.551412,0.5,0.77654,1.22922,0.444444,0.0551993
kl10000,0,finance,105,0.552815,0.5,0.817531,1.23621,0.444444,0.0548327
kl10000,0,finance,110,0.552462,0.5,0.797954,1.23445,0.444444,0.0554942
kl10000,0,finance,113,0.549224,0.5,0.763351,1.2184,0.444444,0.0545255
